time,beach.x,presence,bluebottles,crt_salt,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_uas,wnd_vas,wave_hs,wave_t01,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir,wnd_dir
2018-01-23,1,0,0,35.815147,22.599716,-0.11963256,-0.17944884,5.83203125,-2.8798828125,-4.9970703125,1.4390001,5.5575004,0.14116667,0.9134384,0.40493432,66.09192,209.9554602377856
2018-01-24,1,0,0,35.818504,23.074432,-0.1617481,-0.23468734,6.0,-3.4306640625,-4.8369140625,1.3685833,5.447084,0.148625,0.9271837,0.37186983,68.14553,215.346824189814
2018-01-25,1,0,0,35.8034,23.043304,-0.19318217,-0.2804651,4.6796875,-3.3349609375,-3.265625,1.1274166,5.1683335,0.16020834,0.9468325,0.32041076,71.30404,225.60184209613791
2018-01-27,1,0,0,35.781578,23.284561,-0.2252266,-0.31769767,6.19140625,-4.9072265625,-3.6865234375,1.3124167,5.11875,0.14941666,0.95196766,0.29910043,72.55771,233.0845209958221
2018-01-28,1,0,0,35.773186,23.113342,-0.20020142,-0.2758873,5.46484375,-4.0361328125,-3.5966796875,1.3955001,5.674166,0.13254167,0.9648514,0.26252115,74.77916,228.2951213909602
2018-01-29,1,0,0,35.763115,23.043304,-0.17487106,-0.286874,5.029296875,-2.3701171875,-3.9423828125,1.5117499,6.200834,0.118875,0.9642313,0.26476395,74.64583,211.0138220078739
2018-01-30,1,1,2,35.771507,23.354599,-0.10620441,-0.15778069,9.322265625,-1.1123046875,3.9365234375,1.9246668,6.5954165,0.10895834,0.82679707,-0.05893588,94.07726,344.221822000325
2018-02-02,1,0,0,35.810112,22.74759,0.025025178,0.052491836,6.37109375,-0.91796875,6.26171875,2.0006669,7.699167,0.095166676,0.59403753,-0.80342007,143.5213,351.6598407360993
2018-02-03,1,0,0,35.8034,22.646408,0.06225776,0.09857479,6.611328125,-2.1376953125,6.1640625,1.8504168,6.550417,0.10279167,0.64850825,-0.7582709,139.46141,340.87346707229403
2018-02-04,1,0,0,35.806755,22.630844,-0.03540147,-0.020752586,3.853515625,-0.6328125,3.3974609375,1.4031667,6.5816665,0.097833335,0.73215026,-0.67819506,132.80911,349.448970728842
2018-02-05,1,0,0,35.826897,23.18338,-0.16113773,-0.19409773,3.205078125,-2.3671875,-1.3388671875,1.2634168,7.391249,0.08729166,0.8036148,-0.5690733,125.30391,240.5077574617613
2018-02-06,1,0,0,35.82522,23.230072,-0.15930662,-0.19898069,3.966796875,-3.2841796875,-1.890625,1.50925,8.266666,0.07975,0.42168352,-0.89716023,154.82552,240.071977950678
2018-02-07,1,0,0,35.818504,23.175598,-0.1947081,-0.26856288,5.513671875,-2.59765625,-4.21484375,1.3309169,7.0808334,0.09191667,0.46414486,-0.873297,152.01,211.6460014978936
